Agency Name,State Name [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2020-21,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2019-20,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2017-18,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2016-17,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2015-16
ACADEMY OF SEMINOLE (CHARTER),OKLAHOMA,9211,8922,10597,37690,†,†,†
ACADEMY OF SOUTHFIELD,Michigan,†,†,†,†,†,†,†
ACADEMY OF THE CITY CHARTER SCHOOL,New York,23846,19561,19764,–,†,†,–
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,26825,21298,20734,20416,19662,18528,16811
ACADEMY OF TRADES AND TECH,New Mexico,†,†,†,†,24920,16864,13104
ACADEMY OF TUCSON INC. (78897),Arizona,11172,8441,8995,8935,19981,19438,18369
ACADEMY OF WARREN,Michigan,19539,16300,9572,9161,10130,8699,12894
ACADEMY OF WATERFORD,Michigan,†,†,†,†,†,†,11060
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,12372,12661,11973,13969,12161,10018,9429
ACADEMY WITH COMMUNITY PARTNERS-ARIZONA INC (79213),Arizona,14511,12102,8081,8037,10215,8339,7068
ACADIA ACADEMY,MAINE,15656,15078,12074,11655,10785,11269,†
ACADIA PARISH,Louisiana,13439,11823,10316,9891,9697,9589,9622
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,18871,16869,10184,11026,10037,9888,10148
ACALANES UNION HIGH,California,20028,17807,16138,16554,15554,15337,15754
ACCELERATED ACHIEVEMENT ACADEMY OF CINCINNATI,Ohio,†,†,†,†,†,†,11192
ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,14911,13618,8826,9681,†,†,†
ACCELERATED DISTRICT,CALIFORNIA,17627,16330,14746,12394,†,†,†
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364),Arizona,–,9433,10590,9317,8891,8750,7301
ACCELERATED INTERMEDIATE ACADEMY,Texas,8692,7217,7518,7907,7271,6834,6221
ACCELERATED LEARNING CENTER INC. (4297),Arizona,9556,8321,9298,7307,7572,7311,5211
ACCELERATED LEARNING CHARTER SCHOOL  INC.,Arizona,†,†,†,†,†,†,†
ACCEPT EDUCATION COLLABORATIVE,MASSACHUSETTS,–,†,–,–,†,†,†
ACCLAIM CHARTER SCHOOL (4325),Arizona,12515,11206,9505,8411,9639,8731,7388
ACCOMACK COUNTY PUBLIC SCHOOLS,Virginia,15423,12331,11639,11214,12253,11356,10398
ACE ACADEMY (SDA),Michigan,†,†,14673,13360,12911,19147,18693
ACE AMANDLA CHARTER SCHOOL,ILLINOIS,–,†,–,–,†,†,†
ACE CHARTER HIGH DISTRICT,CALIFORNIA,17502,12370,12948,12573,†,†,†
ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,20793,18022,14791,14724,†,†,†
ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,18401,15762,13724,13757,†,†,†
ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,15904,14096,12850,12385,†,†,†
ACE LEADERSHIP HIGH SCHOOL,New Mexico,†,†,†,†,9994,9778,8583
ACE PREPARATORY ACADEMY,INDIANA,14579,9466,8634,13146,12463,21472,†
ACES TECHNICAL CHARTER SCHOOL,NEW MEXICO,20379,22889,–,†,†,†,†
ACHIEVE ACADEMY DISTRICT,CALIFORNIA,19414,13517,12314,12904,†,†,†
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,23423,15933,14814,10044,12016,9697,10051
ACHIEVE CHARTER ACADEMY,Michigan,9886,9096,8564,8564,8330,8119,7965
ACHIEVE CHARTER HIGH DISTRICT,CALIFORNIA,†,†,–,29542,†,†,†
ACHIEVE CHARTER SCHOOL OF CHICO DISTRICT,CALIFORNIA,–,†,†,†,†,†,†
ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT,CALIFORNIA,17617,21083,16788,13284,†,†,†
ACHIEVE COMMUNITY CHARTER SCHOOL,NEW JERSEY,20035,27598,17262,18067,16967,†,†
ACHIEVE LANGUAGE ACADEMY,Minnesota,17955,14722,13820,15657,13252,12937,13528
ACHIEVEMENT CHARTER ACADEMY,NORTH CAROLINA,11022,8982,†,†,†,†,†
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,15455,14372,15145,–,†,†,–
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,19370,14898,15090,–,†,†,–
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,15034,13394,12902,12852,12874,13580,11049
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,18238,16137,17640,–,†,†,–
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,18125,17066,18367,–,†,†,–
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,18791,16402,18075,–,†,†,–
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,20477,17533,17992,–,†,†,–
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,15107,13513,13821,13835,14707,14014,14437
ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL,NEW YORK,45875,†,†,†,†,†,†
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,16646,16098,16154,–,†,†,–
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,17396,15257,16752,–,†,†,–
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,18724,15212,16872,15715,9005,16046,17652
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,23995,21945,22803,–,†,†,†
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,21128,18297,18918,–,†,†,–
ACHIEVEMENT HOUSE CS,Pennsylvania,16702,14108,15500,16903,17089,17917,15400
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,209101,34943,21087,21318,20143,20129,48958
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,–,14935,11080,10447,12046,9785,9996
ACHIEVEMENT SCHOOL DISTRICT,NEVADA,†,†,9573,11735,†,†,†
ACHIEVEPOINT CAREER ACADEMY - CINCINNATI,OHIO,10151,12337,8898,9639,†,†,†
ACHIEVEPOINT CAREER ACADEMY - COLUMBUS,OHIO,†,†,†,6932,†,†,†
ACHIEVERS EARLY COLLEGE PREP CHARTER SCHOOL,NEW JERSEY,22107,11318,13959,19056,†,†,†
ACHILLE,Oklahoma,15739,13839,12386,12340,9550,9451,10077
ACKERMAN CHARTER,California,–,†,–,–,†,†,–
ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,12025,10585,8491,10695,8007,7655,7267
ACT ACADEMY CYBER CS,Pennsylvania,†,†,–,–,16577,12783,23135
ACTON PUBLIC SCHOOLS,Maine,25787,27931,23987,24029,22657,15387,16267
ACTON-AGUA DULCE UNIFIED,California,19495,17890,16702,16764,3425,3445,4805
ACTON-BOXBOROUGH,Massachusetts,35574,25110,20342,18990,17902,17020,16408
ACUSHNET,Massachusetts,22302,21737,18308,17973,17455,16718,16225
AD PRIMA CS,Pennsylvania,24386,13992,19471,12897,11718,10729,9780
ADA,Oklahoma,12071,10994,10784,10396,8635,8337,9050
ADA EXEMPTED VILLAGE,Ohio,14257,13878,12708,12455,11625,10910,11112
ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,†,26998,15022,13625,12753,12568,21126
ADA-BORUP-WEST PUBLIC SCHOOLS,MINNESOTA,17865,†,†,†,†,†,†
ADAIR,Oklahoma,11226,10444,9686,9508,8650,7746,7906
ADAIR CO. R-I,Missouri,13959,17058,12040,13671,12475,10578,11413
ADAIR CO. R-II,Missouri,26311,16734,16118,16845,15266,17216,12794
ADAIR COUNTY,Kentucky,12900,12663,10838,11198,11083,10664,10820
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,19830,18773,17668,17868,15161,15193,11557
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,–,†,–,–,†,†,–
ADAMS 1 MAPLETON AU,Colorado,†,†,†,†,†,†,†
ADAMS 12 FIVE STAR SCHOOLS,Colorado,14916,14707,15191,13899,12625,10601,10255
ADAMS 12 NORTHGLENN AU,Colorado,†,†,†,†,†,†,†
ADAMS 14 COMMERCE CITY AU,Colorado,†,†,†,†,†,†,†
ADAMS 27J SCHOOL DISTRICT 27J AU,Colorado,†,†,†,†,†,†,†
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,15334,11396,13147,20564,14016,12117,12594
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,16643,18287,17886,16447,29559,24381,16503
ADAMS COUNTY BOCES,Colorado,–,†,–,–,†,†,–
ADAMS COUNTY OHIO VALLEY LOCAL,Ohio,15218,14775,13584,13793,12739,12249,10765
ADAMS COUNTY TECHNICAL INSTITUTE,PENNSYLVANIA,154000,†,†,†,†,†,†
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,12790,11448,19058,13575,10763,9822,10155
ADAMS-ARAP 28J AURORA AU,Colorado,†,†,†,†,†,†,†
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,17648,16989,15220,14590,13797,15447,15952
ADDISON CENTRAL SCHOOL DISTRICT,New York,29179,35306,42082,27266,26592,24348,29215
ADDISON CENTRAL SUPERVISORY DISTRICT,Vermont,†,†,†,†,†,†,–
ADDISON CENTRAL UNIFIED UNION SCHOOL DISTRICT #55,VERMONT,24860,23755,22112,21807,21214,†,†
ADDISON COMMUNITY SCHOOLS,Michigan,14587,12429,14543,11764,11499,11041,11046
ADDISON NORTHWEST SUPERVISORY DISTRICT,Vermont,†,†,†,†,†,†,–
ADDISON NORTHWEST UNIFIED UNION SCHOOL DISTRICT #54,VERMONT,27537,25937,25087,29878,25995,†,†
ADDISON SCHOOL DISTRICT,Vermont,†,†,†,†,†,21974,21373
ADDISON SD 4,Illinois,19940,18151,18351,15096,13704,12237,11667
